url,release_number,release_date,num_files,total_uncompressed_size,num_entries,num_bases,error
https://www.ncbi.nlm.nih.gov/genbank/release/141/,141.0,2004-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/142/,142.0,2004-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/143/,143.0,2004-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/144/,144.0,2004-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/145/,145.0,2004-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/146/,146.0,2005-02-15,2,,3,1768,
https://www.ncbi.nlm.nih.gov/genbank/release/147/,147.0,2005-04-15,2,,3,1768,
https://www.ncbi.nlm.nih.gov/genbank/release/148/,148.0,2005-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/149/,149.0,2005-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/150/,150.0,2005-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/151/,151.0,2005-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/152/,152.0,2006-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/153/,153.0,2006-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/154/,154.0,2006-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/155/,155.0,2006-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/156/,156.0,2006-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/157/,157.0,2006-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/158/,158.0,2007-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/159/,159.0,2007-04-15,2,7261904050,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/160/,160.0,2007-06-15,2,7261904050,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/161/,161.0,2007-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/162/,162.0,2007-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/163/,163.0,2007-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/164/,164.0,2008-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/165/,165.0,2008-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/166/,166.0,2008-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/167/,167.0,2008-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/168/,168.0,2008-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/169/,169.0,2008-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/170/,170.0,2009-02-15,2,,3,1,
